Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
down-to-earth-citrus-mix-6-3-3,Down To Earth - Citrus Mix 6-3-3,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Citrus Mix 6-3-3 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07863-Right.jpg?v=1615590979,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07863-Right.jpg?v=1615590979,kg,,,draft
down-to-earth-insect-frass-3-1-1,Down To Earth - Insect Frass 3-1-1,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Insect Frass 3-1-1 2 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07864-Right.jpg?v=1615590977,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07864-Right.jpg?v=1615590977,kg,,,draft
down-to-earth-azomite-sr-powder-0-0-0-2,Down To Earth - Azomite Sr Powder 0-0-0.2,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Azomite Sr Powder 0-0-0.2 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07851-Right.jpg?v=1615590975,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07851-Right.jpg?v=1615590975,kg,,,draft
down-to-earth-vegan-mix-3-2-2,Down To Earth - Vegan Mix 3-2-2,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Vegan Mix 3-2-2 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07821-Right.jpg?v=1615590973,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07821-Right.jpg?v=1615590973,kg,,,draft
down-to-earth-vegan-mix-3-2-2,,,,,,,,Down To Earth - Vegan Mix 3-2-2 25 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03225.jpg?v=1615590973,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03225.jpg?v=1615590973,kg,,,
down-to-earth-shrimp-meal-6-6-0,Down To Earth - Shrimp Meal 6-6-0,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Shrimp Meal 6-6-0 15 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01933-3.jpg?v=1615590970,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01933-3.jpg?v=1615590970,kg,,,draft
down-to-earth-rose-and-flower-mix-4-8-4,Down To Earth - Rose and Flower Mix 4-8-4,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Rose and Flower Mix 4-8-4 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07820-Right.jpg?v=1615590968,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07820-Right.jpg?v=1615590968,kg,,,draft
down-to-earth-rock-phosphate-0-3-0,Down To Earth - Rock Phosphate 0-3-0,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Rock Phosphate 0-3-0 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07815-Right.jpg?v=1615590966,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07815-Right.jpg?v=1615590966,kg,,,draft
down-to-earth-neem-seed-meal-6-1-2,Down To Earth - Neem Seed Meal 6-1-2,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Neem Seed Meal 6-1-2 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07825-Right-1.jpg?v=1615590964,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07825-Right-1.jpg?v=1615590964,kg,,,draft
down-to-earth-langbeinite-0-0-22,Down To Earth - Langbeinite 0-0-22,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Langbeinite 0-0-22 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07852-Right-3.jpg?v=1615590962,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07852-Right-3.jpg?v=1615590962,kg,,,draft
down-to-earth-langbeinite-0-0-22,,,,,,,,Down To Earth - Langbeinite 0-0-22 50 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02522-2.jpg?v=1615590962,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02522-2.jpg?v=1615590962,kg,,,
down-to-earth-kelp-meal-1-0-1-2,Down To Earth - Kelp Meal 1-0.1-2,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Kelp Meal 1-0.1-2 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07813-Right-3.jpg?v=1615590958,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07813-Right-3.jpg?v=1615590958,kg,,,draft
down-to-earth-kelp-meal-1-0-1-2,,,,,,,,Down To Earth - Kelp Meal 1-0.1-2 20 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01966-2.jpg?v=1615590958,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01966-2.jpg?v=1615590958,kg,,,
down-to-earth-phosphorus-seabird-guano-0-11-0,Down To Earth - High Phosphorus Seabird Guano 0-11-0,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - High Phosphorus Seabird Guano 0-11-0 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07816-Right-1.jpg?v=1615590955,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07816-Right-1.jpg?v=1615590955,kg,,,draft
down-to-earth-phosphorus-seabird-guano-0-11-0,,,,,,,,Down To Earth - High Phosphorus Seabird Guano 0-11-0 40 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02539-2.jpg?v=1615590955,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02539-2.jpg?v=1615590955,kg,,,
down-to-earth-high-nitrogen-bat-guano-7-3-1,Down To Earth - High Nitrogen Bat Guano 7-3-1,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - High Nitrogen Bat Guano 7-3-1 2 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07887-Right.jpg?v=1615590952,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07887-Right.jpg?v=1615590952,kg,,,draft
down-to-earth-granular-humic-acid,Down To Earth - Granular Humic Acid,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Granular Humic Acid 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07827-Right-2.jpg?v=1615590950,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07827-Right-2.jpg?v=1615590950,kg,,,draft
down-to-earth-granular-humic-acid,,,,,,,,Down To Earth - Granular Humic Acid 50 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02850-2.jpg?v=1615590950,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02850-2.jpg?v=1615590950,kg,,,
down-to-earth-fish-meal-8-6-0,Down To Earth - Fish Meal 8-6-0,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down To Earth - Fish Meal 8-6-0 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07889-Right.jpg?v=1615590946,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07889-Right.jpg?v=1615590946,kg,,,draft
down-to-earth-feather-meal-12-0-0,Down to Earth - Feather Meal 12-0-0,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down to Earth - Feather Meal 12-0-0 5 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07810-Right-2.jpg?v=1615590944,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07810-Right-2.jpg?v=1615590944,kg,,,draft
down-to-earth-feather-meal-12-0-0,,,,,,,,Down to Earth - Feather Meal 12-0-0 20 lbs,,,,,,0.0,,0,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/25681-1.jpg?v=1615590944,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/25681-1.jpg?v=1615590944,kg,,,
down-to-earth-crab-meal-4-3-0,Down to Earth - Crab Meal 4-3-0,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down to Earth - Crab Meal 4-3-0 40 lbs,,,,,,0.0,,0,deny,manual,15.39,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03940-2.jpg?v=1615590941,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03940-2.jpg?v=1615590941,kg,,,draft
down-to-earth-cottonseed-meal-6-2-1,Down to Earth - Cottonseed Meal 6-2-1,<h3>DETAILS</h3>,Down To Earth,"",ammendment,false,Size,Down to Earth - Cottonseed Meal 6-2-1 5 lbs,,,,,,0.0,,0,deny,manual,15.39,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07859-Right.jpg?v=1615590938,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07859-Right.jpg?v=1615590938,kg,,,draft
down-to-earth-blood-meal-12-0-0-5,Down To Earth - Blood Meal 12 - 0 - 0 5lb,"<h3>DETAILS</h3>
<p>A high nitrogen source, our Blood Meal is guaranteed to promote rapid, green growth. A wonderful fertilizer for heavy feeders like corn, spinach, salad greens and garlic in the early spring, it also helps compost piles heat up and break down fast.</p>
<h3>ADDITIONAL INFORMATION</h3>
<table>
<tbody>
<tr>
<td>SKU</td>
<td>723660</td>
</tr>
<tr>
<td>Manufacturer</td>
<td>No</td>
</tr>
</tbody>
</table>",Down To Earth,"",ammendment,true,Title,Default Title,,,,,,0.0,shopify,100,deny,manual,20.99,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Heavy16-13_4b72952b-f8fa-4324-ae82-d0a187b9b403.jpg?v=1615590935,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Heavy16-13_4b72952b-f8fa-4324-ae82-d0a187b9b403.jpg?v=1615590935,kg,,,active
down-to-earth-bone-meal-3-15-0,Down to Earth - Bone Meal - 3-15-0,<h3>DETAILS</h3>,Down To Earth,"",ammendment,true,Size,Down to Earth - Bone Meal - 3-15-0 5 lbs,,,,,,0.0,,0,deny,manual,15.99,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07858-Right.jpg?v=1615241624,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07858-Right.jpg?v=1615241624,kg,,,active
down-to-earth-bone-meal-3-15-0,,,,,,,,Down to Earth - Bone Meal - 3-15-0 25 lbs,,,,,,0.0,,0,deny,manual,49.99,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02401-1.jpg?v=1615241624,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/02401-1.jpg?v=1615241624,kg,,,
down-to-earth-bone-meal-3-15-0,,,,,,,,Down to Earth - Bone Meal - 3-15-0 50 lbs,,,,,,0.0,,0,deny,manual,73.69,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01961-2.jpg?v=1615241624,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01961-2.jpg?v=1615241624,kg,,,
down-to-earth-bio-live-5-4-2,Down to Earth - Bio-Live 5-4-2,<h3>DETAILS</h3>,Down To Earth,"",ammendment,true,Size,Down to Earth - Bio-Live 5-4-2 5 lbs,,,,,,0.0,,0,deny,manual,14.95,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07828-Right-2.jpg?v=1615241619,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07828-Right-2.jpg?v=1615241619,kg,,,active
down-to-earth-bio-live-5-4-2,,,,,,,,Down to Earth - Bio-Live 5-4-2 25 lbs,,,,,,0.0,,0,deny,manual,72.50,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01924-1.jpg?v=1615241619,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01924-1.jpg?v=1615241619,kg,,,
down-to-earth-bio-live-5-4-2,,,,,,,,Down to Earth - Bio-Live 5-4-2 50 lbs,,,,,,0.0,,0,deny,manual,117.69,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01925.jpg?v=1615241619,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/01925.jpg?v=1615241619,kg,,,
down-to-earth-bio-fish-7-7-2,Down to Earth - Bio-Fish 7-7-2,<h3>DETAILS</h3>,Down To Earth,"",ammendment,true,Size,Down to Earth - Bio-Fish 7-7-2 5 lbs,,,,,,0.0,,0,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07842-Right_aa6d5801-55f2-479f-98e6-48383fb31013.jpg?v=1615241615,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/07842-Right_aa6d5801-55f2-479f-98e6-48383fb31013.jpg?v=1615241615,kg,,,active
down-to-earth-bio-fish-7-7-2,,,,,,,,Down to Earth - Bio-Fish 7-7-2 25 lbs,,,,,,0.0,,0,deny,manual,49.99,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03502-1_1a2fe5b5-bc43-49fc-a065-353622470df0.jpg?v=1615241615,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03502-1_1a2fe5b5-bc43-49fc-a065-353622470df0.jpg?v=1615241615,kg,,,
down-to-earth-bio-fish-7-7-2,,,,,,,,Down to Earth - Bio-Fish 7-7-2 50 lbs,,,,,,0.0,,0,deny,manual,77.95,,true,true,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03499-2_10a38ad7-fb20-4ca9-906d-ceb3ac3d4305.jpg?v=1615241615,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/03499-2_10a38ad7-fb20-4ca9-906d-ceb3ac3d4305.jpg?v=1615241615,kg,,,
