Vendor,Handle,Title,Option1 Name,Option1 Value,Image Position,Image Src
Gorilla Grow,10x10-gorilla-grow-tent,Gorilla Grow - GORILLA GROW TENT - 10' x 10' - OG,Model Name,GGT1010 Cover,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/9x9_HOLES_grande_b95b3488-ce31-4937-ae94-e351cc06fde0.png?v=1596444482
,10x10-gorilla-grow-tent,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x10_Gorilla_Grow_Tent_grande_da5ebaa7-24b7-4ad6-b5d5-e065948cbb6d.jpg?v=1596444482
,10x10-gorilla-grow-tent,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/12x12_Quarter_View_8ft_grande_beb22983-18d0-44ac-8c89-0958c41db1fe.png?v=1596444482
,10x10-gorilla-grow-tent,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/12x12_Quarter_View_9ft_grande_f9e12c32-0328-4251-be0f-aa9906ec3e49.png?v=1596444482
,10x10-gorilla-grow-tent,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/99GGT52_grande_a860a3f3-0dbf-40b5-a074-17e4eeb7b0f9.png?v=1596444482
,10x10-gorilla-grow-tent,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/99GGT102_grande_df9a83ae-4eb6-4f5a-962b-b5e3500d0263.png?v=1596444482
,10x10-gorilla-grow-tent,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/1010GGT1_grande_51cf055b-54bf-43b7-860a-3ddaa83cdbdc.png?v=1596444482
,10x10-gorilla-grow-tent,,,,8,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Joint_1_grande_a566a094-c4d8-49c6-a4b6-acb07a4b2301.jpg?v=1596444482
,10x10-gorilla-grow-tent,,,,9,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Ports_grande_99771ea9-ba40-49ee-99bd-132835fd8949.jpg?v=1596444482
,10x10-gorilla-grow-tent,,,,10,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Rear_Access_Door_grande_2ab22897-68e7-4148-bdaf-351ae021f048.jpg?v=1596444482
,10x10-gorilla-grow-tent,,,,11,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Tool_Pouch_grande_5687ad55-b1e5-4e52-877a-5fab7553985a.jpg?v=1596444482
,10x10-gorilla-grow-tent,,,,12,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/Vent_Detail_grande_9aaf9f6d-0c24-48da-a771-95156dbd3ff9.png?v=1596444482
Gorilla Grow,10x10ext,Gorilla Grow - GORILLA GROW TENT - ACC - 2' EXTENSION - 10' x 10' - OG/SHORTY,Model Name,2' Extension,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/EXTENSION_KIT_2FT_grande_6934295d-b494-444c-983f-9fcaa1217459.png?v=1596454271
Gorilla Grow,10x20-gorilla-grow-tent,Gorilla Grow - GORILLA GROW TENT - 10-' x 20' - OG,Model Name,GGT1020 Covers,1,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_Side_Open_Doors_9ft_grande_fad03ae1-2250-4c95-9284-867bff251a9b.png?v=1596445687
,10x20-gorilla-grow-tent,,,,2,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_OG_EX_grande_1.png?v=1596445688
,10x20-gorilla-grow-tent,,,,3,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_Interior_7_grande_1.png?v=1596445688
,10x20-gorilla-grow-tent,,,,4,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_Interior_7_grande_94ffc966-bf69-4e64-9f00-4bbee9a7f328.png?v=1596445688
,10x20-gorilla-grow-tent,,,,5,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_OG_EX_grande_8eceaa51-ed60-440a-8b44-4b5c9e7521ca.png?v=1596445688
,10x20-gorilla-grow-tent,,,,6,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_Interior_6_grande_a98fde0e-2a8d-40c5-87aa-4623f2a1e783.png?v=1596445688
,10x20-gorilla-grow-tent,,,,7,https://cdn.shopify.com/s/files/1/0417/5675/4069/products/10x20_Interior_2_grande_fb0326d0-31e0-4823-a8b2-8643b27318bc.png?v=1596445688
